cancer_code,matched_normal_tissue,symbol,ensembl_gene_id,fold_change_vs_matched_normal,tumor_tpm,matched_normal_ntpm,max_immune_ntpm,max_muscle_ntpm,max_fat_ntpm
RMS_ARMS,skeletal_muscle,SHD,ENSG00000105251,228.9,285.27,0.25,1.23,17.27,0.0
RMS_ARMS,skeletal_muscle,CAPN6,ENSG00000077274,178.5,497.57,1.79,14.33,16.77,2.83
RMS_ARMS,skeletal_muscle,SOX8,ENSG00000005513,135.5,202.3,0.49,3.2,3.92,1.27
RMS_ARMS,skeletal_muscle,PIPOX,ENSG00000179761,130.5,154.57,0.18,1.44,4.25,0.57
RMS_ARMS,skeletal_muscle,MAPK15,ENSG00000181085,114.0,121.01,0.06,1.06,0.85,2.27
RMS_ARMS,skeletal_muscle,CRMP1,ENSG00000072832,112.7,147.4,0.31,5.53,29.29,2.55
RMS_ARMS,skeletal_muscle,PEG3,ENSG00000198300,104.8,150.06,0.43,7.92,18.89,3.26
RMS_ARMS,skeletal_muscle,NKAIN4,ENSG00000101198,81.0,81.03,0.0,0.41,0.0,0.14
RMS_ARMS,skeletal_muscle,CENPF,ENSG00000117724,69.0,73.2,0.06,17.86,4.46,0.85
RMS_ARMS,skeletal_muscle,CPA5,ENSG00000158525,68.4,76.78,0.12,2.88,0.0,0.28
RMS_ERMS,skeletal_muscle,PRAME,ENSG00000185686,155.3,174.48,0.12,0.41,0.42,0.28
RMS_ERMS,skeletal_muscle,PEG10,ENSG00000242265,132.0,302.74,1.29,7.85,7.85,4.25
RMS_ERMS,skeletal_muscle,UBE2C,ENSG00000175063,121.0,188.15,0.55,87.6,21.44,3.54
RMS_ERMS,skeletal_muscle,MDFI,ENSG00000112559,116.3,180.85,0.55,11.26,8.54,45.18
RMS_ERMS,skeletal_muscle,NKAIN4,ENSG00000101198,97.5,97.54,0.0,0.41,0.0,0.14
RMS_ERMS,skeletal_muscle,MFAP2,ENSG00000117122,90.7,230.32,1.54,26.41,62.4,50.28
RMS_ERMS,skeletal_muscle,SHD,ENSG00000105251,90.6,112.88,0.25,1.23,17.27,0.0
RMS_ERMS,skeletal_muscle,MAPK15,ENSG00000181085,80.2,85.12,0.06,1.06,0.85,2.27
RMS_ERMS,skeletal_muscle,CENPF,ENSG00000117724,73.0,77.5,0.06,17.86,4.46,0.85
RMS_ERMS,skeletal_muscle,MAGED4B,ENSG00000187243,68.8,81.56,0.18,4.3,4.67,3.4
RMS_SSRMS,skeletal_muscle,NPY,ENSG00000122585,501.4,563.21,0.12,25.38,2.55,2.41
RMS_SSRMS,skeletal_muscle,PENK,ENSG00000181195,270.1,736.27,1.73,8.8,24.8,11.75
RMS_SSRMS,skeletal_muscle,COL2A1,ENSG00000139219,140.0,140.0,0.0,0.0,0.0,0.0
RMS_SSRMS,skeletal_muscle,MDFI,ENSG00000112559,138.6,215.46,0.55,11.26,8.54,45.18
RMS_SSRMS,skeletal_muscle,MAGED4B,ENSG00000187243,133.3,157.97,0.18,4.3,4.67,3.4
RMS_SSRMS,skeletal_muscle,PRAME,ENSG00000185686,120.2,135.06,0.12,0.41,0.42,0.28
RMS_SSRMS,skeletal_muscle,MFAP2,ENSG00000117122,105.7,268.49,1.54,26.41,62.4,50.28
RMS_SSRMS,skeletal_muscle,COL8A2,ENSG00000171812,91.4,125.21,0.37,12.54,7.64,7.08
RMS_SSRMS,skeletal_muscle,ENPP6,ENSG00000164303,87.0,97.71,0.12,3.5,0.21,0.28
RMS_SSRMS,skeletal_muscle,COL22A1,ENSG00000169436,84.3,120.7,0.43,1.56,3.18,0.14
RT,kidney,UBE2C,ENSG00000175063,54.0,202.33,2.75,87.6,21.44,3.54
RT,kidney,MAD2L1,ENSG00000164109,30.8,48.61,0.58,6.25,1.7,0.42
RT,kidney,HMGA2,ENSG00000149948,28.4,36.63,0.29,4.14,0.99,0.57
RT,kidney,KCNQ2,ENSG00000075043,22.4,25.62,0.14,0.15,0.2,0.0
RT,kidney,CPT1C,ENSG00000169169,22.2,73.46,2.32,7.25,9.34,4.67
RT,kidney,SLC12A5,ENSG00000124140,19.4,50.15,1.59,4.38,4.92,2.12
RT,kidney,PRAME,ENSG00000185686,18.6,67.21,2.6,0.41,0.42,0.28
RT,kidney,NPW,ENSG00000183971,15.0,21.51,0.43,1.06,0.42,0.57
RT,kidney,CACNG7,ENSG00000105605,13.3,13.32,0.0,0.0,0.0,0.0
RT,kidney,FSD1,ENSG00000105255,12.4,17.79,0.43,1.76,0.85,0.42
SCLC,lung,ASCL1,ENSG00000139352,369.3,656.69,0.78,0.64,0.0,0.0
SCLC,lung,INSM1,ENSG00000173404,319.4,319.4,0.0,1.23,0.0,0.14
SCLC,lung,CHGA,ENSG00000100604,116.9,389.82,2.33,18.63,1.91,19.83
SCLC,lung,GNG4,ENSG00000168243,115.0,132.89,0.16,8.81,13.58,1.84
SCLC,lung,KIF1A,ENSG00000130294,106.9,156.73,0.47,2.25,13.36,0.14
SCLC,lung,TAGLN3,ENSG00000144834,106.1,188.72,0.78,2.87,2.33,0.42
SCLC,lung,DLK1,ENSG00000185559,104.5,234.56,1.24,12.08,44.48,4.25
SCLC,lung,TUBB2B,ENSG00000137285,101.0,320.88,2.18,16.17,14.86,5.38
SCLC,lung,HEPACAM2,ENSG00000188175,85.8,99.2,0.16,4.5,3.18,0.14
SCLC,lung,DPYSL5,ENSG00000157851,85.6,85.64,0.0,0.61,0.64,0.0
SKCM,skin,PRAME,ENSG00000185686,1228.9,1561.8,0.27,0.41,0.42,0.28
SKCM,skin,CSAG1,ENSG00000198930,209.8,209.77,0.0,0.48,0.0,0.0
SKCM,skin,GJB1,ENSG00000169562,182.2,404.36,1.22,7.37,3.61,0.14
SKCM,skin,SLC45A2,ENSG00000164175,171.3,403.42,1.35,0.0,0.3,0.0
SKCM,skin,VGF,ENSG00000128564,144.8,203.7,0.41,1.43,0.21,2.83
SKCM,skin,GAGE12B,ENSG00000236737,138.9,232.95,0.68,1.81,0.31,0.42
SKCM,skin,CITED1,ENSG00000125931,96.4,174.74,0.81,0.61,16.34,3.12
SKCM,skin,MAGEA3,ENSG00000221867,89.1,89.14,0.0,0.0,0.0,0.28
SKCM,skin,RAB17,ENSG00000124839,77.9,172.86,1.22,3.07,2.12,1.13
SKCM,skin,GAGE12D,ENSG00000227488,74.9,74.95,0.0,0.0,0.0,0.0
STAD,stomach,CST1,ENSG00000170373,498.3,877.39,0.76,2.05,7.73,0.14
STAD,stomach,CLDN3,ENSG00000165215,491.9,1146.84,1.33,15.35,1.49,0.85
STAD,stomach,GAGE12B,ENSG00000236737,450.6,579.2,0.29,1.81,0.31,0.42
STAD,stomach,MUC3A,ENSG00000169894,235.8,818.89,2.47,2.66,3.11,1.42
STAD,stomach,PTDSS1,ENSG00000156471,191.1,427.39,1.24,8.81,7.43,2.27
STAD,stomach,GAGE12C,ENSG00000237671,181.4,181.41,0.0,0.0,0.0,0.0
STAD,stomach,GAGE12D,ENSG00000227488,181.4,181.41,0.0,0.0,0.0,0.0
STAD,stomach,CCL18,ENSG00000275385,160.3,190.84,0.19,11.21,2.97,13.17
STAD,stomach,MYO7B,ENSG00000169994,142.3,169.37,0.19,14.81,1.49,0.14
STAD,stomach,COL10A1,ENSG00000123500,133.3,145.98,0.1,3.63,1.06,0.42
TGCT,testis,NANOG,ENSG00000111704,235.5,705.72,2.0,0.35,0.21,0.0
TGCT,testis,KHDC3L,ENSG00000203908,204.0,702.12,2.44,0.15,0.0,0.0
TGCT,testis,GDF3,ENSG00000184344,175.3,330.97,0.89,1.36,0.21,0.42
TGCT,testis,CLDN6,ENSG00000184697,172.1,515.8,2.0,0.09,0.06,0.0
TGCT,testis,DPPA3,ENSG00000187569,168.9,543.64,2.22,0.15,0.0,0.0
TGCT,testis,MT1H,ENSG00000205358,124.3,207.08,0.67,13.51,16.34,10.34
TGCT,testis,ETV4,ENSG00000175832,119.5,437.87,2.66,6.1,3.01,0.71
TGCT,testis,ALPG,ENSG00000163286,95.0,158.28,0.67,0.0,0.0,0.0
TGCT,testis,ESRP1,ENSG00000104413,92.2,214.89,1.33,19.34,5.31,0.28
TGCT,testis,KLRG2,ENSG00000188883,87.0,125.58,0.44,0.91,0.0,0.14
THCA,thyroid_gland,DCSTAMP,ENSG00000164935,303.5,303.51,0.0,0.32,0.0,0.99
THCA,thyroid_gland,KLK10,ENSG00000129451,75.1,156.92,1.09,23.75,1.27,11.75
THCA,thyroid_gland,SLC22A31,ENSG00000259803,66.6,114.84,0.73,5.29,0.3,0.28
THCA,thyroid_gland,RXRG,ENSG00000143171,64.4,146.2,1.27,0.82,29.52,3.26
THCA,thyroid_gland,PRR15,ENSG00000176532,63.0,188.62,1.99,9.42,4.67,8.92
THCA,thyroid_gland,CDH3,ENSG00000062038,54.1,171.79,2.18,16.02,8.07,4.96
THCA,thyroid_gland,TMPRSS4,ENSG00000137648,50.5,68.78,0.36,18.82,2.97,0.28
THCA,thyroid_gland,LAMB3,ENSG00000196878,47.0,149.42,2.18,26.2,6.63,15.01
THCA,thyroid_gland,ARHGAP36,ENSG00000147256,45.0,53.21,0.18,0.0,3.88,0.28
THCA,thyroid_gland,CCNDBP1,ENSG00000166946,41.3,161.06,2.9,17.0,2.33,4.39
THYM,thymus,GAGE12B,ENSG00000236737,252.8,252.78,0.0,1.81,0.31,0.42
THYM,thymus,AQP5,ENSG00000161798,83.3,83.25,0.0,0.6,3.82,3.97
THYM,thymus,DYNC1H1,ENSG00000197102,71.0,242.06,2.41,21.01,31.55,30.73
THYM,thymus,PPP2R3B,ENSG00000167393,57.0,183.81,2.22,10.73,70.99,6.09
THYM,thymus,KLK8,ENSG00000129455,48.5,165.18,2.41,15.05,0.37,7.79
THYM,thymus,GAGE2A,ENSG00000189064,46.7,46.69,0.0,0.0,0.0,0.0
THYM,thymus,FAM20A,ENSG00000108950,41.9,72.95,0.74,6.65,4.67,10.34
THYM,thymus,OXLD1,ENSG00000204237,39.3,82.94,1.11,17.23,14.96,15.58
THYM,thymus,DEAF1,ENSG00000177030,37.2,64.74,0.74,16.47,10.74,14.87
THYM,thymus,JAG2,ENSG00000184916,36.1,136.22,2.78,2.87,12.45,9.91
UCEC,endometrium,EPS8L1,ENSG00000131037,138.7,505.75,2.65,2.08,0.6,6.23
UCEC,endometrium,CDKN2A,ENSG00000147889,85.6,191.35,1.24,8.01,0.7,4.96
UCEC,endometrium,PKMYT1,ENSG00000127564,83.5,171.9,1.06,23.56,1.91,1.56
UCEC,endometrium,MYH14,ENSG00000105357,68.7,238.43,2.47,12.69,61.69,14.73
UCEC,endometrium,TJP3,ENSG00000105289,67.8,247.3,2.65,9.42,1.06,0.28
UCEC,endometrium,SYNE4,ENSG00000181392,58.0,129.63,1.24,0.45,0.21,0.28
UCEC,endometrium,KIF1A,ENSG00000130294,54.8,83.85,0.53,2.25,13.36,0.14
UCEC,endometrium,PKP3,ENSG00000184363,53.5,176.35,2.29,11.03,1.06,1.56
UCEC,endometrium,OVOL2,ENSG00000125850,53.3,72.06,0.35,0.26,0.0,0.0
UCEC,endometrium,CENPF,ENSG00000117724,52.7,164.19,2.12,17.86,4.46,0.85
UCS,endometrium,CDKN2A,ENSG00000147889,277.7,620.66,1.24,8.01,0.7,4.96
UCS,endometrium,COL2A1,ENSG00000139219,139.5,188.77,0.35,0.0,0.0,0.0
UCS,endometrium,DLK1,ENSG00000185559,117.3,262.19,1.24,12.08,44.48,4.25
UCS,endometrium,ZIC1,ENSG00000152977,105.7,105.66,0.0,0.16,4.07,4.67
UCS,endometrium,COL26A1,ENSG00000160963,97.9,132.43,0.35,0.8,0.0,0.14
UCS,endometrium,NXPH4,ENSG00000182379,92.9,92.89,0.0,0.8,2.61,3.4
UCS,endometrium,KIF1A,ENSG00000130294,88.8,135.83,0.53,2.25,13.36,0.14
UCS,endometrium,HMGA2,ENSG00000149948,76.6,130.75,0.71,4.14,0.99,0.57
UCS,endometrium,TROAP,ENSG00000135451,54.3,159.6,1.94,43.57,5.73,1.7
UCS,endometrium,PKMYT1,ENSG00000127564,52.7,108.56,1.06,23.56,1.91,1.56
UVM,retina,PMEL,ENSG00000185664,7225.2,15121.21,1.09,8.81,7.22,4.53
UVM,retina,MLANA,ENSG00000120215,2709.3,4929.9,0.82,0.82,0.12,0.14
UVM,retina,MLPH,ENSG00000115648,729.4,1327.3,0.82,4.71,67.18,17.99
UVM,retina,TSPAN10,ENSG00000182612,679.6,679.64,0.0,1.44,0.0,0.57
UVM,retina,TYR,ENSG00000077498,561.9,715.39,0.27,0.09,0.0,0.0
UVM,retina,SOX10,ENSG00000100146,465.9,1102.27,1.37,4.91,8.54,3.97
UVM,retina,VPS28,ENSG00000160948,285.8,832.44,1.91,213.84,172.61,182.13
UVM,retina,TNFRSF14,ENSG00000157873,256.3,676.55,1.64,148.55,23.2,50.84
UVM,retina,GPR143,ENSG00000101850,219.8,700.25,2.19,1.95,2.12,0.85
UVM,retina,PAX3,ENSG00000135903,202.5,202.48,0.0,0.13,2.16,0.71
WILMS,kidney,SIX2,ENSG00000170577,683.3,1177.61,0.72,0.2,20.09,14.3
WILMS,kidney,COL2A1,ENSG00000139219,545.6,545.55,0.0,0.0,0.0,0.0
WILMS,kidney,NNAT,ENSG00000053438,452.7,1500.73,2.32,4.91,10.4,37.39
WILMS,kidney,EYA1,ENSG00000104313,314.4,359.93,0.14,0.15,4.42,0.85
WILMS,kidney,PCDHGA8,ENSG00000253767,279.0,278.96,0.0,0.2,0.4,0.14
WILMS,kidney,PCDHGC4,ENSG00000242419,249.3,285.35,0.14,0.26,2.11,0.28
WILMS,kidney,PCDHGA1,ENSG00000204956,220.8,284.66,0.29,0.41,1.2,0.42
WILMS,kidney,UNCX,ENSG00000164853,218.5,629.43,1.88,0.0,0.0,0.0
WILMS,kidney,PCDHGC5,ENSG00000240764,215.0,277.19,0.29,0.2,5.12,0.42
WILMS,kidney,MEOX1,ENSG00000005102,214.4,276.46,0.29,15.87,24.3,49.29
