artifact_version,ensemble_name,member_index,member,feature_space,feature_selection,n_genes,decision_threshold,feature_index,feature_type,feature_id,symbol,tissue_category,scaler_mean,scaler_scale,coef_msi,intercept_msi
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,28,sample_gene_z,TM9SF4,TM9SF4,,1.2570341204728537,0.14148268078067405,-0.16763839334558836,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,29,sample_gene_z,CYB5D1,CYB5D1,,0.24889827488085284,0.3326297368038,0.1441821716894071,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,30,sample_gene_z,SPATA2,SPATA2,,0.5476610394783208,0.15693030440800773,-0.21805331428743682,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,31,sample_gene_z,ATP9A,ATP9A,,1.2383278056120117,0.25908708217459775,0.041368830169530905,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,32,sample_gene_z,SLC19A3,SLC19A3,,-0.7186564989990523,0.8134600245835242,-0.7224369134795172,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,33,sample_gene_z,NEURL2,NEURL2,,-0.8512226728326298,0.2754375479907845,0.020464168600326578,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,34,sample_gene_z,TLE6,TLE6,,-1.2132197931160396,0.727625739357401,0.4185195248138526,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,35,sample_gene_z,MOCS3,MOCS3,,0.1753248795436666,0.1700595614022339,0.31939260544818177,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,36,sample_gene_z,ZNF311,ZNF311,,-1.0906552515774024,0.4681091445814546,0.006176966782493086,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,37,sample_gene_z,SPIN3,SPIN3,,-0.02859103801906066,0.38932456940795973,0.6068620917191185,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,38,sample_gene_z,RASSF10,RASSF10,,-0.9575664874133587,0.6400902664977678,-0.4580648401230305,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,39,sample_gene_z,GSPT2,GSPT2,,-0.3519114045466937,0.5413538015308319,0.4707125599672368,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,40,sample_gene_z,FAM179B,FAM179B,,0.05484282835593881,0.3116954785194811,-0.6473294810293544,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,41,sample_gene_z,NORAD,NORAD,,1.726239088364755,0.19680053594340274,0.03631829553980497,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,42,sample_gene_z,DHX35,DHX35,,0.20069375953797827,0.1554518652838836,0.2848974895574139,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,43,sample_gene_z,ZFP3,ZFP3,,-0.2531817873987658,0.4041118753426331,-0.08558100797862118,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,44,sample_gene_z,ASXL1,ASXL1,,0.9568844230494101,0.15550322514758774,-0.6204877008075235,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,45,sample_gene_z,CAB39L,CAB39L,,0.08162824419369805,0.36717036237089545,0.13974914573704647,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,46,sample_gene_z,RPS6KA6,RPS6KA6,,-1.613745345664632,0.6474150655743568,0.2890757003775071,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,47,sample_gene_z,CHMP4B,CHMP4B,,1.4801712349720322,0.14924566707024048,0.15072670953936002,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,48,sample_gene_z,KLC4,KLC4,,0.6423598500356025,0.21373205278561094,0.07716985271287166,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,49,sample_gene_z,SREBF1,SREBF1,,1.170518528416541,0.3208541313152786,0.23048842667476332,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,50,sample_gene_z,NUBPL,NUBPL,,0.03096907967454942,0.22060156955849505,0.31234500493280487,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,51,sample_gene_z,DIDO1,DIDO1,,1.0260581952934509,0.13636574224860903,0.28759747078048015,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,52,sample_gene_z,RALGAPB,RALGAPB,,0.9589659521627389,0.1475750180365718,0.8945295820546566,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,53,sample_gene_z,C8orf41,C8orf41,,0.0967225025243608,0.2914164603189382,-0.20344964485333406,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,54,sample_gene_z,FECH,FECH,,0.25727891254994784,0.3684231766417087,-0.6617752781332956,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,55,sample_gene_z,ZNF232,ZNF232,,-0.09047380884710887,0.33702706912267516,-1.1038279716531019,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,56,sample_gene_z,HUNK,HUNK,,0.031774901662705836,0.5943201764035142,-0.058050069407453345,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,57,sample_gene_z,MSL3L2,MSL3L2,,-0.22588545332448112,0.38442534098155506,-0.06803367369981282,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,58,sample_gene_z,C2orf43,C2orf43,,0.1537039577650458,0.3579321971932225,-0.37717412874936296,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,59,sample_gene_z,KIAA0406,KIAA0406,,0.597429735903689,0.1319322976567258,-0.07469504326928045,-3.812263821134212
