cancer_code,matched_normal_tissue,symbol,ensembl_gene_id,fold_change_vs_matched_normal,tumor_tpm,matched_normal_ntpm,max_non_lymphoid_ntpm
DLBC,lymph_node,DNLZ,ENSG00000213221,33.7,87.75,1.6,41.73
DLBC,lymph_node,HGH1,ENSG00000235173,25.5,49.99,0.96,5.33
DLBC,lymph_node,ZNG1F,ENSG00000215126,24.6,36.35,0.48,8.38
DLBC,lymph_node,YDJC,ENSG00000161179,23.6,42.58,0.8,11.14
DLBC,lymph_node,AP5Z1,ENSG00000242802,23.4,87.27,2.72,29.58
DLBC,lymph_node,BFSP2,ENSG00000170819,21.8,35.84,0.64,0.1
DLBC,lymph_node,CHTF18,ENSG00000127586,18.4,59.63,2.24,25.3
DLBC,lymph_node,FAM20A,ENSG00000108950,18.2,62.04,2.4,28.94
DLBC,lymph_node,UMPS,ENSG00000114491,17.0,52.46,2.08,5.32
DLBC,lymph_node,FBXL6,ENSG00000182325,10.6,39.48,2.72,14.57
LAML,bone_marrow,CERKL,ENSG00000188452,80.3,135.76,0.69,55.73
LAML,bone_marrow,TRIO,ENSG00000038382,66.0,174.28,1.64,24.35
LAML,bone_marrow,RGL2,ENSG00000237441,60.0,178.97,1.98,36.42
LAML,bone_marrow,HOXA9,ENSG00000078399,58.8,185.57,2.16,39.93
LAML,bone_marrow,NOMO3,ENSG00000103226,58.1,193.45,2.33,25.67
LAML,bone_marrow,JAK3,ENSG00000105639,57.0,116.1,1.04,21.12
LAML,bone_marrow,INTS3,ENSG00000143624,55.2,193.45,2.5,33.74
LAML,bone_marrow,PRMT7,ENSG00000132600,53.4,173.23,2.24,40.94
LAML,bone_marrow,SPDYE3,ENSG00000214300,52.3,56.8,0.09,5.33
LAML,bone_marrow,RSKR,ENSG00000167524,51.4,122.35,1.38,15.03
